avg:,,,,,,,,
-15.815,-16.075,-16.076,-15.848,-15.482,-15.983,-15.63,-15.486,-15.59
max:,,,,,,,,
0,0,0,0,0,0,0,0,0
min:,,,,,,,,
-15,-11,-6,-37,-6,-19,-5,-15,-21
-8,-15,-25,-3,-16,-13,-21,-24,-20
-18,-6,-20,-18,-37,-11,-19,-21,-2
-28,-20,-3,-21,-25,-8,-8,-5,-11
-18,-21,-16,-14,-23,-3,-20,-23,-22
-13,-17,-19,-24,-11,-28,-16,-12,-13
-23,-20,-18,-21,-13,-16,-9,-13,-13
-13,-6,-13,-12,-18,-9,-35,-15,-19
-7,-15,-4,-21,-5,-14,-30,-30,-28
-11,-18,-9,-16,-16,-3,-17,-14,-18
-19,-5,-20,-15,-20,-14,-17,-15,-20
-17,-4,-20,-15,-5,-22,-15,-23,-19
-23,-3,-14,-7,-18,-16,-24,-10,-11
-8,-27,-18,-10,-15,-15,-29,-11,-34
-8,-18,-18,-6,-36,-15,-16,-10,-6
-6,-6,-22,-14,-11,-25,-1,-11,-17
-22,-13,-15,-10,-44,-19,-21,-21,-16
-14,-12,-23,-3,-10,-10,-15,-5,-20
-2,-17,-14,-15,-14,-15,-19,-19,-9
-15,-11,-13,-13,-8,-3,-19,-16,-21
-19,-13,-14,-30,-4,-10,-22,-9,-8
-11,-21,-33,-6,-24,-23,-23,-16,-20
-11,-14,-11,-19,-26,-11,-27,-21,-14
-2,-17,-19,-28,-21,-24,-13,-13,-19
-9,-14,-26,-17,-14,-13,-17,-20,-12
-28,-7,-21,-13,-12,-26,-12,-16,-12
-18,-7,-11,-1,-8,-10,-17,-21,-8
-5,-31,-19,-8,-24,-5,-23,-16,-22
-10,-19,-16,-28,-30,-17,-7,-12,-5
-12,-24,-16,-15,-7,-18,-17,-11,-30
-28,-32,-14,-19,-22,-22,-25,-26,-13
-2,-17,-23,-14,-15,-21,-15,-2,-13
-15,-8,-4,-6,-7,-18,-17,-8,-16
-17,-6,-12,-33,0,-26,-6,-21,-22
-20,-25,-26,-14,-10,-13,-23,-11,-5
-27,-9,-10,-8,-26,-15,-8,-41,-8
-18,-9,-19,-11,-18,-32,-7,-19,-6
-17,-23,-17,-27,-10,-16,-6,-24,-19
-20,-14,-27,-19,-9,-12,-22,-29,-20
-12,-4,-8,-9,-22,-16,-9,-28,-23
-8,-17,-9,-33,-12,-30,-16,-25,-2
-29,-15,-13,-21,-7,-17,-9,-21,-13
-12,-9,-19,-22,-10,-9,-10,-14,-5
-12,-9,-19,-8,-2,-24,-6,-2,-12
-1,-6,-9,-15,-29,-18,-24,-16,-7
-19,-13,-21,-12,-14,-10,-18,-17,-27
-11,-10,-19,-10,-24,-11,-17,-20,-6
-16,-17,-20,-20,-14,-17,-25,-29,-21
-26,-12,-29,-18,-19,-26,-29,-18,-16
-17,-12,-16,-10,-14,-18,-22,-8,-21
-16,-19,-16,-15,-9,-30,-5,-13,-25
-15,-18,-12,-15,-16,-21,-9,-22,-7
-16,-1,-6,-17,-19,-28,-20,-10,-10
-16,-24,-30,-24,-39,-14,-19,-17,-26
-10,-39,-9,-27,-15,-13,-15,-7,-4
-34,-18,-6,-45,-11,-3,-13,-17,-12
-26,-22,-12,-13,-13,-11,-27,-10,-4
-7,-10,-23,-7,-13,-16,-10,-18,-11
-45,-5,-13,-9,-5,-26,-5,-18,-10
-37,-12,-15,-13,-9,-32,-18,-8,-14
-6,-8,-8,-18,-20,-12,-28,-9,-8
-9,-26,-3,-19,-27,-17,-15,-12,-26
-13,-4,-29,-15,-8,-24,-7,-12,-8
-7,-7,-13,-6,-4,-16,-7,-18,-21
-8,-16,-29,-11,-17,-5,-12,-6,-9
-18,-18,-30,-24,-21,-9,-7,-16,-19
-2,-21,-20,-29,-24,-1,-13,-2,-7
-2,-20,-22,-12,-12,-6,-17,-14,-3
